2024/03/04 18:46:08 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:46:08 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:46:08 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:46:18 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:46:18 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:46:18 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:46:28 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:46:28 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:46:28 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:46:38 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:46:38 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:46:38 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:46:48 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:46:48 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:46:48 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:46:58 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:46:58 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:46:58 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:47:08 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:47:08 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:47:08 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:47:18 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:47:18 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:47:18 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:47:28 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:47:28 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:47:28 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:47:38 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:47:38 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:47:38 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:47:48 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:47:48 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:47:48 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:47:58 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:47:58 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:47:58 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:48:08 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:48:08 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:48:08 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:48:18 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:48:18 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:48:18 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:48:28 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:48:28 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:48:28 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:48:38 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:48:38 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:48:38 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:48:48 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:48:48 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:48:48 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:48:58 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:48:58 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:48:58 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:49:08 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:49:08 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:49:08 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:49:18 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:49:18 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:49:18 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:49:28 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:49:28 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:49:28 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:49:38 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:49:38 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:49:38 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:49:48 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:49:48 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:49:48 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:49:58 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:49:58 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:49:58 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:50:08 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:50:08 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:50:08 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:50:18 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:50:18 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:50:18 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:50:28 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:50:28 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:50:28 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:50:38 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:50:38 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:50:38 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:50:48 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:50:48 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:50:48 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/08 13:29:58 storage (pid=19162)(info): log_event_mode(922): use kernel_event
2024/03/08 13:29:58 storage (pid=19162)(info): server.cpp(102), proc_on_init: cfg_gpname: group001, cfg_spaths: ../data, cfg_taddrs: 127.0.0.1:21000, cfg_iaddrs: 127.0.0.1:22000, cfg_maddrs: 127.0.0.1, cfg_raddrs: 127.0.0.1:6379, cfg_bindport: 23000, cfg_interval: 10, cfg_mtimeout: 30, cfg_maxconns: 600, cfg_ctimeout: 10, cfg_rtimeout: 0, cfg_ktimeout: 60
2024/03/08 13:29:58 storage (pid=19162)(info): acl_threads_server_main(1639), /home/nilera/Distributed_SM/bin/storage daemon started, log: acl_master.log
2024/03/08 13:29:58 storage (pid=19162)(error): src/net/connect/acl_inet_connect.c(412) acl_inet_timed_connect: connect 127.0.0.1:21000 error Connection refused
2024/03/08 13:29:58 storage (pid=19162)(error): tracker.cpp(26), run: Connect Tracker Fail, taddr: 127.0.0.1:21000
2024/03/08 13:30:00 storage (pid=19162)(error): src/net/connect/acl_inet_connect.c(412) acl_inet_timed_connect: connect 127.0.0.1:21000 error Connection refused
2024/03/08 13:30:00 storage (pid=19162)(error): tracker.cpp(26), run: Connect Tracker Fail, taddr: 127.0.0.1:21000
